title,location,length,rating,rating_number,price
Michelin Star Chef - Cristina Bowerman,Italy,1 hour,,,From $70/person
Cook-Along with Michelin trained chef,United Kingdom,1.25 hours,,,From $45/person
Michelin Star Chef - Rishi Naleendra,Singapore,1 hour,,,From $41/person
Secrets of a Michelin-starred Chef,Singapore,1.5 hours,,,From $34/person
Michelin Star Chef - Roberto Ruiz,Spain,1 hour,,,From $82/person
Michelin Star Chef - Soo Ahn,United States,1 hour,,,From $40/person
Mediterranean Seafood with Chef Marc,France,1 hour,,,From $58/person
Michelin Star Chef - Iván Muñoz,Spain,1 hour,,,From $47/person
The World of High Kitchen Fermentations,Spain,1 hour,,,From $93/person
Michelin Star Chef - Nicola Dinato,Italy,1 hour,,,From $82/person
Michelin Star Chef - Pascal Aussignac,United Kingdom,1 hour,,,From $52/person
Michelin Star Chef - Iannotti Lab,Italy,1 hour,,,From $93/person
Michelin Star Chef - Paco Morales,Spain,1 hour,,,From $58/person
Chef Andrea’s Meaty Italian Mains,Italy,1 hour,,,From $58/person
French products by a Michelin Stared Chef,France,1 hour,,,From $70/person
Michelin Star Chef - Brad Carter,United Kingdom,1 hour,,,From $64/person
Chef Joachim’s Fusion of Flavors,Portugal,1 hour,,,From $41/person
Michelin Star Chef - Andrew Zimmerman,United States,1 hour,,,From $55/person
Michelin Star Chef - Alberto Landgraf,Brazil,1 hour,,,From $50/person
Michelin Star Chef - Giuseppe Iannotti,Italy,1 hour,,,From $70/person
Southern Italian Dishes with Chef Paolo,Italy,1 hour,,,From $47/person
Michelin Star Chef - Jonathan Benno,United States,1.5 hours,,,From $40/person
Countryside Cooking with Chef Davide,Italy,1 hour,,,From $70/person
Michelin Star Chef - Edson Yamashita,Brazil,1 hour,,,From $41/person
Michelin Star Chef - Jun Lee,South Korea,1 hour,,,From $41/person
Michelin Star Chef - Gabriel Kreuther,United States,1.25 hours,,,From $40/person
Taste of Tuscany with Chef Gaetano,Italy,1 hour,,,From $70/person
Easy Dishes w/ Tastemade Chef Frankie,United States,1 hour,,,From $30/person
Sangria and Secrets with Drag Queens,Portugal,1.5 hours,Rating 4.96 out of 5,2145 reviews,From $35/person
Follow a Plague Doctor Through Prague,Czech Republic,1.5 hours,Rating 4.92 out of 5,952 reviews,From $18/person
Coffee Masterclass with National Judge,Mexico,1 hour,Rating 4.97 out of 5,1103 reviews,From $8/person
'True vs False' Funny Historical Game,Greece,1 hour,Rating 4.96 out of 5,252 reviews,From $9/person
Cook Mexican Street Tacos with a Pro Chef,Mexico,1.5 hours,Rating 4.97 out of 5,586 reviews,From $21/person
Explore Kyoto Where Unique Old Gods Live,Japan,1.5 hours,Rating 4.95 out of 5,110 reviews,From $10/person
Secrets of Magic,United Kingdom,1.5 hours,Rating 4.97 out of 5,444 reviews,From $25/person
Propagating Plants with Hilton Carter,United States,1.5 hours,Rating 4.97 out of 5,617 reviews,From $35/person
cLock Down the Interactive Live Musical,Portugal,1.5 hours,Rating 5 out of 5,68 reviews,From $27/person
Solve the Mystery Escape Room,Poland,1.5 hours,Rating 4.96 out of 5,124 reviews,From $19/person
Living Room Legends Scavenger Hunt Game,United States,1 hour,Rating 4.94 out of 5,33 reviews,From $6/person
Harry Potter Virtual London Walking Tour,United Kingdom,1.5 hours,Rating 5 out of 5,33 reviews,From $9/person
Meet the Woolly Sheep on My Farm,New Zealand,1 hour,Rating 4.9 out of 5,241 reviews,From $11/person
Make Japanese Souffle Pancakes At Home,United States,1 hour,Rating 4.98 out of 5,43 reviews,From $15/person
SECRETS of Mobile Photo by NatGeo Winner,Spain,0.75 hour,Rating 5 out of 5,173 reviews,From $2/person
All About Coffee With a Colombian Pro Taster & Barista,Colombia,1 hour,Rating 4.86 out of 5,139 reviews,From $7/person
GINspiration History & Cocktails at Home,United Kingdom,1.5 hours,Rating 4.96 out of 5,464 reviews,From $20/person
Spiced Wines of the Past with an Archaeologist,Italy,1 hour,Rating 4.98 out of 5,188 reviews,From $12/person
"Irish Village, History, Culture & Craic",Ireland,1 hour,Rating 4.97 out of 5,121 reviews,From $11/person
Mezcal & Tequila Cocktail Masterclass,Mexico,1.5 hours,Rating 4.96 out of 5,50 reviews,From $23/person
Meditation with a Japanese Buddhist Monk,Japan,1 hour,Rating 4.92 out of 5,826 reviews,From $15/person
SECRETS of Mobile Photo by NatGeo Winner,Spain,0.75 hour,Rating 5 out of 5,173 reviews,From $3/person
Fun Argentine Wine Class with Local Somm,Argentina,1.5 hours,Rating 4.98 out of 5,301 reviews,From $7/person
"Tokyo's Daily Life, Health, Culture, Mindset, Meal, Gods, Anime, Tourist Spots",Japan,1.5 hours,Rating 4.95 out of 5,147 reviews,From $12/person
A Sandwich Masterclass with a Pro,United States,1 hour,Rating 5 out of 5,93 reviews,From $9/person
All About Mezcal with a Oaxaca Sommelier,United States,1.5 hours,Rating 4.96 out of 5,126 reviews,From $14/person
Spiced Wines of the Past with an Archaeologist,Italy,1 hour,Rating 4.98 out of 5,188 reviews,From $17/person
Come & Zoom Around Madrid With A Local,Spain,1.25 hours,Rating 5 out of 5,65 reviews,From $14/person
Discover Buenos Aires Street Art & more!,Argentina,1 hour,Rating 4.96 out of 5,174 reviews,From $10/person
Taste Of India On Your Plate,India,1.5 hours,Rating 5 out of 5,68 reviews,From $14/person
Kenyan Home Cooking from my Family Kitchen,Kenya,1.5 hours,Rating 4.98 out of 5,103 reviews,From $20/person
"Happy Hour: Spritz, Nibbles&Vodka Sorbet",Italy,1 hour,Rating 5 out of 5,2 reviews,From $24/person
Learn To Make Argentine Empanadas,Colombia,2 hours,Rating 4.95 out of 5,209 reviews,From $14/person
Pompeii w/an Archaeologist: Love & Eros,Italy,1 hour,Rating 5 out of 5,1 review,From $12/person
Cooking with a Moroccan Family,Morocco,1.5 hours,Rating 4.97 out of 5,275 reviews,From $13/person
Coloured Pasta and Chocolate Volcano,Italy,1.5 hours,Rating 4.99 out of 5,118 reviews,From $21/person
Chocolate Origins & Create with a Maker,Jamaica,1 hour,Rating 5 out of 5,52 reviews,From $10/person
Medellin: From violence to innovation,Colombia,1.5 hours,Rating 5 out of 5,17 reviews,From $18/person
Zen Eating to Enrich Your Life,Japan,1 hour,Rating 5 out of 5,59 reviews,From $8/person
"Tamales Fiesta, from a Mexican Chef",Mexico,2 hours,Rating 5 out of 5,16 reviews,From $27/person
Drink and Draw,Portugal,1.5 hours,Rating 4.95 out of 5,286 reviews,From $18/person
GINspiration History & Cocktails at Home,United Kingdom,1.5 hours,Rating 4.96 out of 5,464 reviews,From $20/person
